,comment
55,"Перешла к вам с labelsmart️‍ новый для меня формат, все подаете очень аккуратно и тактично, техника речи на высоте. Помогаете понять последствия событий в жизни человека и его выбора, взять на себя ответственность за свои поступки и мысли, популяризуете ментальное здоровье"
56,"Ждал возвращения True Crime. Спасибо, Саша, что не оставили нас без своего творчества, хоть и вам самой непросто (помню подкасст ""правило 34"" с вами)."
57,"Хочется просто поддержать канал и выразить благодарность за труд. Надеюсь, что нас всех ждёт много расследований."
58,"Кошмар, жесть!!  Я считаю тех кто убивает людей-Людоедами и биомусором---от которых нужно избавляться путем растрела. Смертная казнь-тем кто отнял жизнь у других и мир станет чище  и не будет маньяков"
59,Ура! Саша все ещё ведет криминальные истории! Это очень круто
60,"Сложилось впечатление, что следователь в некоторой степени восхищается «Амазонкой» как он её назвал, столько лестных эпитетов. Факт того, что убийца кидалась на мать с кулаками следователь называет типичной, нормальной ситуацией в семье  (видимо у следаков своё понимание нормы), а то, что студенты считали странным её поведение и одежду- наговором и ничего что у неё уже тогда стоял диагноз. Мне не хватило раскрытия темы почему маньяки и серийные убийцы это в подавляющем большинстве мужчины от клинического психолога. Есть несколько  интересных гипотез по этому поводу, но клинический психолог предпочла не анализировать и съехать с темы, зато приписала всему женскому полу некую мстительность, что никак не подтверждено ни научными фактами, ни статистикой (историй где мужчины мстят за измену, отказ или разрыв отношений просто масса начиная от слива интимок до убийств, но мстительные, конечно же, женщины). Ну а Саша как всегда прекрасная "
61,"Прекрасные гости! Я поражаюсь, что они довольно интересно отвечают на вопросы, будто не снимаются вовсе. Спасибо съемочной группе и Саше Сулим!"
62,Жестьодна история хуже другой...но повариха убившая детишек за поздний ланч и своих мужей капец конечно 
63,"Прочитала комменты - один сплошной виктимблейминг .., Нормадьный следователь , поймал серийную убийцу , обезопасил общество от маньячки - и это главное в данном случае!"
64,"Я в шоке с того, как следователь обесценил изнасилование, да и в целом жизнь Марии. Ничего аномального, все в пределах разумного, бла бла бла… Какая же пропасть между его взглядом на судьбу женщин и реальностью. Абсолютно нулевое понимание, насколько тяжёлую жизнь прожила Мария. Для таких мужчин, как он, наверняка девушка ещё и сама виновата в надругательстве над ней, спровоцировала."
65,"Саша, следим за вашей карьерой, любим и рады вашему собственному каналу "
66,"побила мать кулаками — ничего необычного, бытовуха. А потом они удивляются, что она на людей с ножом бросается"
67,4 года за расчленение малолетнего ребенка и еще Бог знает сколько преступлений. Что с этим миров не так?
68,"прошу заметить, что следователь БУКВАЛЬНО сказал «она ОПИСЫВАЕТ этот опыт как не особо травмирующий». Он не оценивает эту ужасную ситуацию, а констатирует то, что она сама говорила."
69,"1 млн просмотров ,за сутки...не это ли успех и ответ на то,что мы вас любим и смотрим.Дальнейшей удачи вам и вашему каналу"
70,"У вас прекрасная подача информации, приятно и интересно слушать"
71,Очень понравился ваш подкаст. Отличная работа. Спасибо
72,"Человек всегда всё чувствует, будьте внимательны к своему внутреннему голосу, это спасёт от бед!  Меня тоже странная соседка блинчиками угощала, я улыбалась и брала, но потом выкидывала, вряд ли она хотела меня отравить, но я чувствовала, что нехорошие мысли у неё. А девушкам молодым хочу сказать, что неоднозначные шутки парней чаще всего указывают  на общее отношение к женщинам, уважайте себя и не общайтесь с такими!!! Нормальные парни и мужчины не позволяют себе такого ни при общении с женщинами, и даже если они рядом и могут услышать! Не стоит ради толики внимания со стороны мужчины что-то терпеть, если чувствуете, что вам неприятно, вам на самом деле неприятно! Слушайте себя!"
73,"как же я счастлива, что у Саши появился канал, да еще и с трукрайм историями, для меня это лучший подарок! сегодня вечером буду с удовольствием с подругой смотреть и наслаждаться! Спасибо, драгоценная Александра! "
74,"На мой взгляд гораздо интереснее понять, что толкало целую семью травить соседей и почему многодетная мать убивала детей"
75,Спасибо за ваш труд!
76,"Саша, огромное спасибо что вернулись да ещё и со своим каналом! Мы по вам очень скучали! Удачи вам в новом старом проекте, уже ждём следующие выпуски"
77,"Есть ощущение, что следователь сам романтизирует убийцу. И будто выгораживает."
78,"Меня пугает этот мужчина, следователь который. Он так тепло о ней говорит, как будто родная ему. Так ещё фильм хочет снять о ней."
79,"не знаю как этот канал появился в рекомендациях, но мне очень нравится подача историй и грамотно приглашенные гости делают видео очень атмосферным."
80,"Отличный заход. Понравилось, что рассказывают и комментируют на прямую причастные люди к этому делу. Спасибо всем причастным за проделанную работу. Буду ждать ещё выпуски."
81,"Про месть от женщин - вспомнилась реальная история, которая повергла меня в шок и до сих пор очень жутко думать об этом  У меня был одногруппник в универе. Жил с отцом, мы все думали, что его мама умерла. Однажды он проговорился, что она в тюрьме. Слово за слово,- оказалось, его мать сидит за организацию убийства ребёнка.  Если прям кратко: жил-был уральский бизнесмен. Женатый. Был у него маленький сынок. И завёл бизнесмен интрижку на работе. У любовницы уже была дочь от другого мужчины. И вот любовница забеременела от бизнесмена. Родила сына. Просила бизнесмена уйти из семьи и жениться на ней. Тот всё время говорил, что «из-за ребёнка не может уйти». Любовница нашла мужика, которому щедро заплатила и заказала убийство этого бедного ребёнка. Его похитили из школы, насколько помню. Убили.  в итоге следствие вышло на заказчицу и исполнителя. Бизнесмен в итоге ушел от жены , они не смогли пережить такую трагедию вместе. Любовницу посадили. Её дети остались одни. Бизнесмен решил взять опеку над ними (раз там и его родной второй сын). И вот так жил с детьми. Пока убийца его первого сына сидит. Как сейчас у них там дела - без понятия. Уже 9 лет прошло, как я выпустилась из универа. История ужасающая "
82,Спасибо за структурированную подачу материала! Подписка
83,"Как всегда ,позновательно,спасибо Александра."
84,"Я офигеваю от следователя, ну ничего необычного изнасиловали ее, нормальная семья и ничего что отец избил мать что та была в больнице пару дней. Ужас! Что за жизнь когда такое становится нормой?!"
85,"Это здорово, что Саша запустила свой проект. Очень любила смотреть «Дела» и рада, что появился новый формат."
86,"Впервые наткнулась на данный канал,у ведущей потресающие глаза"
87,"Как интересно  слушать .Какое  грамотное  изложение у  следователя ,что не часто  встречается ."
88,"Саша, поздравляю вас с успехом. 1 млн просмотров за сутки - это блестящий результат."
89,"Саша, это невероятно стильно снято. Студия, цветокор, твоя прическа и одежда - везде прослеживается стиль и эстетика. Ты такая умница, спасибо тебе за то, что ты делаешь)"
90,"Обожаю.Смотрю месяца два.Саша не только красивая,но и очень умная"
91,"Очень рада увидеть выпуск, но не хватает той атмосферы. В «Делах» нравилось как Александра рассказывала всю историю человека от начала и до конца, это была как интересная история, которую тебе рассказывают дома и такой формат очень притягивал. А сейчас документальный фильм каких много. Расследование проведено отличное, но подача уже не такая близкая и тёплая, раньше голос Саши завораживал и слушалось с удовольствием. Может лучше приводить этих специалистов в студию и вернуть направленность подкаста"
92,"После изнасилования, о котором я, конечно, никому не сказала (стыдно, что люди скажут) в 17-летнем возрасте, секса больше никогда не было, это грязь, избегание мужчин, мне 51 год, прожила, естественно, одна всю жизнь."
93,Убийц детей нужно пожизненно сажать.
94,Очень профессионально и интересно. Спасибо.
95,"Саша такая элегантная, слов нет! Потрясающая получилась передача, практически уже документальное кино, хотелось бы чуть больше хроники, архивных материалов, фотографий и видео. Жду следующих выпусков )"
96,"качество материала на высоченном уровне! гораздо интереснее, чем было раньше! так рада, что вы остались с нами на ютьюбе, очень жду следующий выпуск. И, комплимент - вы очень красивая, как вам идет этот образ!"
97,Как могла эта деваха работать учителем физры со своим шизо растройством
98,"Спасибо, очень интересный выпуск! Как в нашем мире интересно все устроено, есть закономерность, которая объяснена природой и логикой, но всегда найдётся несколько исключений"
99,"Александра, это великолепно!!!!  Как же я рада, что вы создали свой канал!!!! Спасибо!!!! Жду с нетерпением новых историй!!!!"
100,"Саша, большое вам спасибо, что не ушли с ютуба! Очень скучала по вашему подкасту, рада, что вы продолжаете. И хоть тот формат был мне немного ближе, я готова смотреть все, где вы появляетесь!"
101,"Меня поражает, как следователь ее «романтизирует». Видно как мягко и даже с каким-то восхищением он о ней говорит. "
102,"Почему когда детей с детдома забирают, не проверяют потом как они живут ("
103,"Я видела другую подачу материала по эту женщину-маньяка.Там говорилось,что с ней очень жестоко обращались родители.И она была не один, ,а несколько раз износилована .Это объясняет ее ненависть к мужчинам и причины нападения."
104,"Меня поражает следователь..ну,чуть-чуть изнасиловали,с кем не бывает,ну,обычная хорошая семья..ну,мать подала заявление на дочь,как правильная мать.Слишком много личного видения следователя.Очень много вопросов именно к его оценке событий."
105,15 лет за убийство двух детей и издевательство над остальными… странная у нас система
106,обожаю вставки про какие-то другие кейсы чтобы растянуть хронометраж и впихнуть побольше рекламы 
107,"У Саши Сулим есть потрясающий навык рассказывать столь жуткие истории. И делать это так, что потом начинаешь опасаться многих людей вокруг."
108,"Саша, поздравляю с открытием канала и с первым ""независимым"" видео. Всё супер, ты - большая молодец и большой профессионал. Очень приятно. Пивоварову спасибо за рекламу :)))"
109,"Александра,  шикарно выглядите в каждом выпуске !"
110,"Заткните этого мужика, кто вообще ему дал право решать, какие у неё были мотивы... Носить нож для самообороны - стандартная женская тактика, она могла искренне быть убеждена, что это её защитит, и в момент, когда почувствовала угрозу (тут правильно говорит психолог, она могла воспринять какую-то ""мелочь"" как сигнал опасности и среагировал) ударить его"
111,"Поражает, что 15 лет давали тогда за убийства и 11-15 лет за осуждение войны сейчас! Просто в голове не укладывается!"
112,С премьерой! Как всегда высочайший уровень подачи материала.
113,Классный формат канала!
114,Очень классный опер Так чувствует преступника и так рассуждает верно
115,"А я не знаю как было раньше. Впервые попала на ролик Саши. И хочу сказать что мне все нравится грамотная речь и приятные интонации, последовательность, комментарии компетентных людей. Сделано на профессиональном уровне. Спасибо за выпуск автору"
116,"Ну да, хорошая логика –на нее никак не повлияло изнасилование, выкидыш, избиение отцом матери, логика огонь"
117,Как может подняться рука на маленького ребенка ? 
118,"Нравится мне Саша Сулим,красивая,профессиональная журналистка,и репортажи интересные!!!"
119,"Только расстроилась, что вас не будет в «дела», как вы радуете сольным проектом. Прекрасная работа! Дальнейшего долгого развития"
120,"Саша, дорогая! спасибо за твой труд! каждый день, в который ты транслируешь свои мысли и знания - лучший день"
121,Очень нравится ваш голос и как вы ведете подкаст.
122,"За страшное убийство изощрённое по отношению к беззащитным детям....15 лет????? Люди вы , что??? За кражу столько дают....я в шоке от наших законом...если не растррел то пожизненно!!!!!"
123,"""Что такое таскать с собой нож, да не один месяц... это удовольствие, фантазии"" с этого прям передёрнуло. Следователь просто не сталкивался с такими ситуациями, когда идешь по темной улице домой, а тебе в след свистят пятеро парней нетрезвого вида"
124,"Вспоминаю времена, когда ехала на практику в универе и в электричке по дороге слушала подкаст Саши про ангарского маньяка на Медузе) "
125,"Такое ощущение, что опер сочувствует и пытается обелить маньяка."
126,"Последняя известная жертва-это сам следователь.Это преступление его поработило.Действительно,дело убийцы стало самым ярким событием в жизни следователя.Следователь,конечно ,пытается выглядеть объективно и беспристрастно,но не ввходит.Налицо видны и симпатия и романтизация  и желание как можно дольше не отпускать эту историю,а уж желание снять фильм,без комментариев ..."
127,"Следователь прям типичный мент из разряда «убьют, тогда и приходите». Представляю сколько девочек от отговорил от заявлений об изнасилованиях, скольким внушил что «сама придумала, не драматизируй»."
